Article 1 ID,Article 2 ID,Article 1 Reject,Article 2 Reject,Article 1 Headline,Article 2 Headline,Article 1 Site Name,Article 2 Site Name,Article 1 Sentiment Count,Article 2 Sentiment Count,Hash Similarity Score,Marking,Live Latest Feed,Article 1 URL,Article 2 URL
138,2331,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7042546
138,2376,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,<b>Politics</b> latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-post-office-minister-admits-government-worried-about-new-law-to-quash-convictions-12593360
138,2390,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,<b>Politics</b> latest: Suella Braverman&#39;s war on &#39;woke&#39; policing criticised by her own review - as Rishi Sunak moves fast to tackle Post Office scandal,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-suella-bravermans-war-on-woke-policing-criticised-by-her-own-review-as-rishi-sunak-moves-fast-to-tackle-post-office-scandal-12593360
138,2479,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,<b>Politics</b> latest: Post Office investigator in heated exchanges - as ex-chancellor says he knows when election will be,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-post-office-investigator-in-heated-exchanges-as-ex-chancellor-says-he-knows-when-election-will-be-12593360
138,2574,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: Sunak and Zelenskyy sign security deal; &#39;biggest attack on UK navy in decades&#39; one reason for Yemen strikes - PM,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7050851
138,3206,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: Tory peer makes Rwanda admission; chancellor signals tax cuts are coming,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7091521
138,3210,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics live: Rishi Sunak tries to &#39;make a bogeyman&#39; at &#39;utterly bizarre&#39; news briefing - as unusual guest takes seat,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-live-rishi-sunak-tries-to-make-a-bogeyman-at-utterly-bizarre-news-briefing-as-unusual-guest-takes-seat-12593360
138,3216,False,True,<b>Politics</b> Hub live: Sunak contradicts Hancock&#39;s claim at COVID inquiry; ex-minister gets &#39;PTSD thinking about Brexit debate&#39;,Politics latest: Tax cuts hint dropped by <b>Rishi Sunak</b>; Tory peer makes Rwanda admission,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-hub-live-sunak-contradicts-hancocks-claim-at-covid-inquiry-ex-minister-gets-ptsd-thinking-about-brexit-debate-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7092176
144,149,False,True,"Rishi Sunak&#39;s evidence to Covid inquiry &#39;pathetic&#39;, bereaved families say",Bereaved families say Sunak’s evidence to Covid inquiry was ‘pathetic’,Evening Standard,shropshirestar.com,1,2,94,PP_DEEP,FALSE,https://www.standard.co.uk/news/uk/rishi-sunak-covid-inquiry-eat-out-to-help-out-london-b1126293.html,https://www.shropshirestar.com/news/uk-news/2023/12/11/bereaved-families-say-sunaks-evidence-to-covid-inquiry-was-pathetic/
162,176,False,True,"Stormont financial package does not “touch the surface”, Michelle O&#39;Neill says",Government offers financial package to support return of Stormont Executive,Belfast Live,Derry Now,1,1,90,PP_DEEP,FALSE,https://www.belfastlive.co.uk/news/northern-ireland/stormont-financial-package-not-touch-28271395,https://www.derrynow.com/news/northern-ireland/1369586/government-offers-financial-package-to-support-return-of-stormont-executive.html
197,199,False,True,Festive surprise for Cluny Primary&#39;s Chloe as she triumphs in MP&#39;s Christmas card contest,Festive joy for Cluny Primary&#39;s Chloe as she triumphs in MP&#39;s Christmas card competition,Grampian Online,Forres Gazette,2,2,97,PP_DEEP,FALSE,https://www.grampianonline.co.uk/buckie/festive-surprise-for-cluny-primarys-chloe-as-she-triumphs-i-335698/,https://www.forres-gazette.co.uk/news/festive-surprise-for-cluny-primarys-chloe-as-she-triumphs-i-335702/
217,456,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200
217,694,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916
217,2331,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7042546
217,2376,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,<b>Politics</b> latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-post-office-minister-admits-government-worried-about-new-law-to-quash-convictions-12593360
217,2390,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,<b>Politics</b> latest: Suella Braverman&#39;s war on &#39;woke&#39; policing criticised by her own review - as Rishi Sunak moves fast to tackle Post Office scandal,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-suella-bravermans-war-on-woke-policing-criticised-by-her-own-review-as-rishi-sunak-moves-fast-to-tackle-post-office-scandal-12593360
217,2479,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,<b>Politics</b> latest: Post Office investigator in heated exchanges - as ex-chancellor says he knows when election will be,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-post-office-investigator-in-heated-exchanges-as-ex-chancellor-says-he-knows-when-election-will-be-12593360
217,2574,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: Sunak and Zelenskyy sign security deal; &#39;biggest attack on UK navy in decades&#39; one reason for Yemen strikes - PM,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7050851
217,3206,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: Tory peer makes Rwanda admission; chancellor signals tax cuts are coming,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7091521
217,3210,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics live: Rishi Sunak tries to &#39;make a bogeyman&#39; at &#39;utterly bizarre&#39; news briefing - as unusual guest takes seat,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-live-rishi-sunak-tries-to-make-a-bogeyman-at-utterly-bizarre-news-briefing-as-unusual-guest-takes-seat-12593360
217,3216,True,True,<b>Politics</b> latest: Lord David Cameron makes claim about <b>UK</b>-EU relationship as he faces first committee hearing since return,Politics latest: Tax cuts hint dropped by <b>Rishi Sunak</b>; Tory peer makes Rwanda admission,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-lord-david-cameron-makes-claim-about-uk-eu-relationship-as-he-faces-first-committee-hearing-since-return-12593360,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7092176
284,399,False,True,London police to &quot;carefully consider&quot; <b>Prince Harry</b> phone hacking ruling,London police to &#39;carefully consider&#39; <b>Prince Harry</b> phone hacking ruling,Yahoo News,CNA,1,1,93,PP_DEEP,FALSE,https://uk.news.yahoo.com/london-police-carefully-consider-prince-095302878.html,https://www.channelnewsasia.com/world/london-police-carefully-consider-prince-harry-phone-hacking-ruling-3993646
321,325,False,True,"<b>Prince Harry</b> ‘on mission to destroy monarchy’, says Piers Morgan","<b>Prince Harry</b> phone hacking: Duke &#39;on mission to destroy monarchy&#39;, says Piers Morgan in furious response",The Telegraph,The Telegraph,4,4,100,PP_DEEP,FALSE,https://www.telegraph.co.uk/royal-family/2023/12/15/prince-harry-daily-mirror-hacking-claim-live/?n=@,https://www.telegraph.co.uk/royal-family/2023/12/15/prince-harry-daily-mirror-hacking-claim-live/
359,412,False,True,Steve Coogan: Prince Harry&#39;s hacking case is &#39;start of something&#39;,Steve Coogan: <b>Prince Harry</b>&#39;s hacking case is &#39;start of something&#39;,BBC News,BBC News,2,2,97,PP_DEEP,FALSE,https://www.bbc.com/news/uk-67736528.amp,https://www.bbc.co.uk/news/uk-67736528?at_medium=RSS&at_campaign=KARANGA
417,428,False,True,EXCLUSIVE: <b>Harry</b> and Meghan&#39;s Christmas card was missing something important amid &#39;united display&#39;,<b>Harry</b> and Meghan&#39;s Christmas card was missing something important amid &#39;united display&#39;,The Mirror,The Mirror,2,1,99,PP_DEEP,FALSE,https://www.mirror.co.uk/3am/us-celebrity-news/harry-meghans-christmas-card-missing-31686802.amp,https://www.mirror.co.uk/3am/us-celebrity-news/harry-meghans-christmas-card-missing-31686802
456,694,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916
456,2331,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7042546
456,2376,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,<b>Politics</b> latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-post-office-minister-admits-government-worried-about-new-law-to-quash-convictions-12593360
456,2390,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,<b>Politics</b> latest: Suella Braverman&#39;s war on &#39;woke&#39; policing criticised by her own review - as Rishi Sunak moves fast to tackle Post Office scandal,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-suella-bravermans-war-on-woke-policing-criticised-by-her-own-review-as-rishi-sunak-moves-fast-to-tackle-post-office-scandal-12593360
456,2479,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,<b>Politics</b> latest: Post Office investigator in heated exchanges - as ex-chancellor says he knows when election will be,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-post-office-investigator-in-heated-exchanges-as-ex-chancellor-says-he-knows-when-election-will-be-12593360
456,2574,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics latest: Sunak and Zelenskyy sign security deal; &#39;biggest attack on UK navy in decades&#39; one reason for Yemen strikes - PM,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7050851
456,3206,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics latest: Tory peer makes Rwanda admission; chancellor signals tax cuts are coming,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7091521
456,3210,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics live: Rishi Sunak tries to &#39;make a bogeyman&#39; at &#39;utterly bizarre&#39; news briefing - as unusual guest takes seat,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-live-rishi-sunak-tries-to-make-a-bogeyman-at-utterly-bizarre-news-briefing-as-unusual-guest-takes-seat-12593360
456,3216,True,True,Politics latest: Shadow health secretary questioned on NHS on eve of junior doctors&#39; strikes | Sophy Ridge live,Politics latest: Tax cuts hint dropped by <b>Rishi Sunak</b>; Tory peer makes Rwanda admission,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6947200,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7092176
524,546,False,True,Even The Crown Has Daddy Issues,Even “The Crown” Has Daddy Issues,Harper's BAZAAR,Yahoo Life,5,5,99,PP_DEEP,FALSE,https://www.harpersbazaar.com/culture/film-tv/a46176433/the-crown-final-season-daddy-issues/,https://www.yahoo.com/lifestyle/even-crown-daddy-issues-174800180.html
541,582,False,True,Queen Camilla Is Launching a New Podcast for Book Lovers in January,Queen Camilla Is Launching a New Podcast for Book Lovers,Yahoo Movies,Yahoo Lifestyle,1,1,100,PP_DEEP,FALSE,https://uk.movies.yahoo.com/queen-camilla-launching-podcast-book-120000347.html,https://au.lifestyle.yahoo.com/queen-camilla-launching-podcast-book-120000347.html
557,924,False,True,Meghan Markle lets slip what Archie wants for Christmas - and why he won&#39;t be getting it,Meghan Markle lets slip what <b>Prince</b> Archie wants for Christmas - and why he won&#39;t be getting it,Irish Mirror,The Mirror,4,4,90,PP_DEEP,FALSE,https://www.irishmirror.ie/showbiz/us-gossip/meghan-markle-lets-slip-what-31701518,https://www.mirror.co.uk/news/royals/meghan-markle-lets-slip-what-31701182
593,600,False,True,<b>Starmer</b> may allow free vote on assisted dying to end ‘injustice’,"<b>Starmer</b> may allow free vote on assisted dying to end ‘injustice’, says Labour",The Telegraph,Yahoo News,1,1,94,PP_DEEP,FALSE,https://www.telegraph.co.uk/news/2023/12/20/starmer-free-vote-assisted-dying-end-injustice/,https://uk.news.yahoo.com/starmer-may-allow-free-vote-195426396.html
674,949,False,True,This was the year women fought back and won,Reform UK to challenge Tories in every seat at general election,The Times,The Sunday Times,1,2,100,PP_DEEP,FALSE,https://www.thetimes.co.uk/article/4df3b3eb-27c5-4f22-95f0-36f1d505c877?shareToken=91ff394f86a06c268c06e47289f26deb,https://www.thetimes.co.uk/article/403f4038-b2a1-490f-9f8f-cb2c612861b1?shareToken=d8e47bcaadc3bc0c275df95da45e4988
694,2331,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Politics latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7042546
694,2376,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,<b>Politics</b> latest: Gary Lineker challenged to run against Tory MP in Stoke-on-Trent North,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-post-office-minister-admits-government-worried-about-new-law-to-quash-convictions-12593360
694,2390,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,<b>Politics</b> latest: Suella Braverman&#39;s war on &#39;woke&#39; policing criticised by her own review - as Rishi Sunak moves fast to tackle Post Office scandal,Sky News,Sky News,1,2,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-suella-bravermans-war-on-woke-policing-criticised-by-her-own-review-as-rishi-sunak-moves-fast-to-tackle-post-office-scandal-12593360
694,2479,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,<b>Politics</b> latest: Post Office investigator in heated exchanges - as ex-chancellor says he knows when election will be,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-post-office-investigator-in-heated-exchanges-as-ex-chancellor-says-he-knows-when-election-will-be-12593360
694,2574,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Politics latest: Sunak and Zelenskyy sign security deal; &#39;biggest attack on UK navy in decades&#39; one reason for Yemen strikes - PM,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-rishi-sunak-accused-of-trying-to-take-glory-with-new-post-office-law-12593360?postid=7050851
694,3206,True,True,Politics latest: <b>Rishi Sunak</b> questioned about family visa changes after Home Office climbdown,Politics latest: Tory peer makes Rwanda admission; chancellor signals tax cuts are coming,Sky News,Sky News,1,1,100,PP_DEEP,TRUE,https://news.sky.com/story/politics-latest-baroness-mone-ppe-labour-government-pandemic-transparency-12593360?postid=6959916,https://news.sky.com/story/politics-latest-rishi-sunak-rwanda-bill-tory-rebellion-commons-votes-resignations-12593360?postid=7091521
